stadsdeel,postcode_min,postcode_max
K,1079XJ,1079ZZ
K,1081AA,1081DA
K,1081EA,1081HV
K,1081HX,1081JX
K,1081KA,1081KM
K,1081KP,1081KS
K,1081LA,1081LC
K,1082AA,1082CW
K,1082DB,1082DD
K,1082EA,1082GG
K,1082GK,1082KN
K,1082KR,1082KR
K,1082KT,1082LB
K,1082LD,1082MK
K,1082MM,1082MM
K,1082MP,1082MV
K,1082NA,1082NA
K,1082NC,1082NV
K,1082PA,1082PB
K,1082PP,1082PP
K,1082RA,1082VZ
K,1082XC,1082XZ
K,1083AA,1083CN
K,1083CR,1083DG
K,1083EA,1083EN
K,1083GA,1083GX
K,1083HA,1083HJ
K,1083HL,1083HP
K,1083HZ,1083JR
K,1083KA,1083KE
K,1083MA,1083MA
K,1083ME,1083MG
K,1083TC,1083VZ
K,1083XD,1083XZ
M,1019AA,1019AL
M,1019AP,1019AP
M,1019AS,1019AZ
M,1019BB,1019BB
M,1019BD,1019BR
M,1019BV,1019CV
M,1019CX,1019GX
M,1019HA,1019HZ
M,1019JC,1019JL
M,1019JN,1019JN
M,1019JR,1019JR
M,1019JT,1019MK
M,1019MN,1019MS
M,1019NA,1019NE
M,1019NH,1019NJ
M,1019NL,1019NN
M,1019PA,1019SL
M,1019SZ,1019TT
M,1019TW,1019TZ
M,1019WB,1019WG
M,1019WJ,1019WL
M,1019WN,1019WN
M,1019WR,1019WV
M,1019WX,1019XH
M,1086VA,1086VJ
M,1086VL,1086VL
M,1086WB,1086WC
M,1086WE,1086WH
M,1086XK,1086XK
M,1086XP,1086ZM
M,1086ZP,1086ZV
M,1087AT,1087AZ
M,1087BB,1087BC
M,1087BE,1087BE
M,1087BN,1087BW
M,1087BZ,1087BZ
M,1087CB,1087CN
M,1087DA,1087DC
M,1087DE,1087DS
M,1087EB,1087EB
M,1087EG,1087ER
M,1087GC,1087GE
M,1087GJ,1087GN
M,1087GT,1087GT
M,1087GX,1087HA
M,1087HC,1087HC
M,1087HM,1087HP
M,1087HS,1087HX
M,1087JA,1087JK
M,1087JT,1087JW
M,1087KA,1087KR
M,1087LA,1087LH
M,1087LL,1087LS
M,1087MA,1087ML
M,1087MN,1087MN
M,1087MR,1087MS
M,1087NA,1087NJ
M,1087SB,1087SL
M,1087VA,1087VA
M,1091AA,1091BL
M,1091BP,1091BZ
M,1091CB,1091DC
M,1091DE,1091ET
M,1091EW,1091HC
M,1091HE,1091LZ
M,1091MD,1091MH
M,1091ML,1091ML
M,1091MR,1091MS
M,1091MX,1091NK
M,1091NN,1091PT
M,1091PW,1091PX
M,1091RA,1091RJ
M,1091RP,1091SM
M,1091ST,1091VZ
M,1091WS,1091WV
M,1091WX,1091WZ
M,1091XB,1091XK
M,1091XM,1091ZC
M,1091ZE,1091ZE
M,1092AA,1092CS
M,1092CW,1092CZ
M,1092EA,1092GP
M,1092GS,1092KA
M,1092KC,1092KP
M,1092KS,1092KS
M,1092KZ,1092LC
M,1092MA,1092MA
M,1092SB,1092SE
M,1092SW,1092SX
M,1092TA,1092VE
M,1092VJ,1092VS
M,1092VV,1092VZ
M,1092XA,1092XD
M,1092XP,1092XT
M,1092XW,1092XZ
M,1093AA,1093AA
M,1093AD,1093AG
M,1093AK,1093AK
M,1093AS,1093AW
M,1093BA,1093BB
M,1093BG,1093BK
M,1093BP,1093BP
M,1093BS,1093CH
M,1093CL,1093CS
M,1093CV,1093CV
M,1093CX,1093CZ
M,1093DC,1093DL
M,1093EA,1093EL
M,1093EN,1093HZ
M,1093JB,1093JG
M,1093JK,1093KP
M,1093KS,1093KS
M,1093LA,1093LA
M,1093LC,1093LC
M,1093LE,1093LE
M,1093MA,1093ME
M,1093MJ,1093MK
M,1093NA,1093NB
M,1093NE,1093NJ
M,1093RP,1093SC
M,1093SH,1093TS
M,1093TV,1093TV
M,1093TX,1093TX
M,1093VA,1093VZ
M,1093WZ,1093XA
M,1093XC,1093XD
M,1093XG,1093XS
M,1093XV,1093XV
M,1093XX,1093ZB
M,1094AA,1094BM
M,1094BP,1094BV
M,1094BX,1094BX
M,1094CA,1094CG
M,1094CJ,1094CZ
M,1094EA,1094EJ
M,1094EL,1094ET
M,1094EW,1094GT
M,1094GX,1094JC
M,1094JE,1094LZ
M,1094ME,1094MH
M,1094MK,1094MK
M,1094NA,1094PG
M,1094PJ,1094PT
M,1094PW,1094RE
M,1094RH,1094RH
M,1094RK,1094RL
M,1094RN,1094TL
M,1094TR,1094TS
M,1094TV,1094TV
M,1094TX,1094TX
M,1094VA,1094VA
M,1094XB,1094ZD
M,1095AA,1095BD
M,1095BJ,1095CD
M,1095CH,1095CS
M,1095CV,1095DK
M,1095DM,1095DX
M,1095EA,1095EA
M,1095EC,1095EG
M,1095EJ,1095GL
M,1095GP,1095GP
M,1095GT,1095HC
M,1095HG,1095HH
M,1095HK,1095KP
M,1095KS,1095LJ
M,1095MA,1095MA
M,1095MD,1095MD
M,1095RP,1095RP
M,1095RZ,1095RZ
M,1095SC,1095SK
M,1095ST,1095SV
M,1095SZ,1095TA
M,1095TD,1095TJ
M,1095TL,1095TV
M,1095VA,1095VZ
M,1095WB,1095WB
M,1095WE,1095WJ
