Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Nieuw-Zeelandweg;5;B;1;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115149;491390;52,4088864;4,8015415;;BEST-overige gebruiksfunctie ;bedrijf;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012143468'];0363010001043473;;;0363200000509915
Nieuw-Zeelandweg;5;B;9;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115208;491390;52,4088907;4,8024086;;BEST-overige gebruiksfunctie ;opslag / distributie;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012201793'];0363010001043481;;;0363200000509929
Nieuw-Zeelandweg;5;B;20;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115194;491380;52,4087998;4,8022040;;BEST-overige gebruiksfunctie ;bedrijf;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012130144'];0363010001043464;;;0363200000509931
Nieuw-Zeelandweg;5;B;12;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115229;491390;52,4088922;4,8027172;;BEST-overige gebruiksfunctie ;bedrijf;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012201790'];0363010001043462;;;0363200000509933
Nieuw-Zeelandweg;5;B;25;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115159;491380;52,4087972;4,8016897;;BEST-overige gebruiksfunctie ;bedrijf;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012095319'];0363010001043475;;;0363200000509947
Ruigoord;16;;;1047HH;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA20;111630;491484;52,4094642;4,7498160;;BEST-industriefunctie;atelier / werkruimte;100;Verblijfsobject;Verblijfsobject in gebruik;0363300000002142;['0363100012157052'];0363010001025169;;;0363200000512048
Ruigoord;46;;;1047HH;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA20;111618;491657;52,4110180;4,7496173;;BEST-industriefunctie;atelier / werkruimte;100;Verblijfsobject;Verblijfsobject in gebruik;0363300000002142;['0363100012162926'];0363010001025180;;;0363200000512063
Ruigoord;100;;;1047HH;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA21;111482;491573;52,4102524;4,7476295;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000002142;['0363100012156094'];0363010001025186;;;0363200000512065
Archangelkade;6;A;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119963;489812;52,3950332;4,8724514;;BEST-overige gebruiksfunctie ;bedrijf;147;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012070790'];0363010001038362;;;0363200000514428
Archangelkade;4;B;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119993;489839;52,3952777;4,8728894;;BEST-overige gebruiksfunctie ;bedrijf;147;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012061512'];0363010001038356;;;0363200000514430
Archangelkade;2;C;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119962;489872;52,3955723;4,8724305;;BEST-overige gebruiksfunctie ;bedrijf;147;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012127415'];0363010001038277;;;0363200000514432
Archangelkade;6;D;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119946;489827;52,3951669;4,8722001;;BEST-overige gebruiksfunctie ;bedrijf;149;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012130260'];0363010001038366;;;0363200000514437
Archangelkade;6;F;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119949;489842;52,3953019;4,8722426;;BEST-overige gebruiksfunctie ;bedrijf;142;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012133664'];0363010001038368;;;0363200000514443
Archangelkade;6;H;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119953;489857;52,3954370;4,8722998;;BEST-overige gebruiksfunctie ;bedrijf;149;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012083137'];0363010001038371;;;0363200000514447
Petroleumhavenweg;22;L;;1041AC;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC25;118990;491424;52,4094576;4,8579840;;BEST-overige gebruiksfunctie ;opslag / distributie;59;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012151902'];0363010001173329;;;0363200000514457
Vlothavenweg;16;;;1013BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD24;118641;490632;52,4023167;4,8529410;;BEST-industriefunctie;bedrijf;1352;Verblijfsobject;Verblijfsobject in gebruik;0363300000005303;['0363100012098096'];0363010000855677;;;0363200000313986
Gyroscoopweg;14;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB25;117892;490324;52,3994985;4,8419696;;BEST-overige gebruiksfunctie ;bedrijf;3170;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012153902'];0363010001173934;;;0363200000525099
Moezelhavenweg;21;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116349;489742;52,3941614;4,8193661;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012140695'];0363010001169517;;;0363200000525556
Moezelhavenweg;27;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116335;489755;52,3942773;4,8191589;;BEST-overige gebruiksfunctie ;bedrijf;205;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012083787'];0363010001169520;;;0363200000525559
Moezelhavenweg;35;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116365;489754;52,3942704;4,8195998;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012062110'];0363010001169524;;;0363200000525563
Moezelhavenweg;41;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116382;489782;52,3945232;4,8198463;;BEST-overige gebruiksfunctie ;bedrijf;205;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012077774'];0363010001169527;;;0363200000525566
Moezelhavenweg;47;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116358;489782;52,3945216;4,8194937;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012121995'];0363010001169530;;;0363200000525569
Moezelhavenweg;61;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116357;489792;52,3946114;4,8194779;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012094825'];0363010001169537;;;0363200000525576
Moezelhavenweg;63;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116365;489792;52,3946119;4,8195954;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012141094'];0363010001169538;;;0363200000525577
Moezelhavenweg;69;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116310;489787;52,3945631;4,8187880;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012123651'];0363010001169541;;;0363200000525580
Moezelhavenweg;73;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116311;489772;52,3944284;4,8188044;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012120982'];0363010001169543;;;0363200000525582
Moezelhavenweg;77;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116311;489758;52,3943026;4,8188060;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012102534'];0363010001169545;;;0363200000525584
Moezelhavenweg;79;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116311;489750;52,3942307;4,8188069;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012073949'];0363010001169546;;;0363200000525585
Moezelhavenweg;85;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116300;489735;52,3940951;4,8186470;;BEST-overige gebruiksfunctie ;bedrijf;102;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012088261'];0363010001169549;;;0363200000525588
Moezelhavenweg;93;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116300;489764;52,3943557;4,8186437;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012143570'];0363010001169553;;;0363200000525592
Gyroscoopweg;5;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB21;117693;490235;52,3986851;4,8390557;;BEST-industriefunctie;opslag / distributie;2610;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012101753'];0363010000654380;;;0363200000116542
Gyroscoopweg;6;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB27;117756;490188;52,3982670;4,8399865;;BEST-industriefunctie;opslag / distributie;19887;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012088435'];0363010000654381;;;0363200000116543
Accraweg;3;;;1047HJ;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA19;111910;491502;52,4096481;4,7539285;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001076;['0363100012096334'];0363010001043497;;;0363200000530124
Accraweg;9;;;1047HJ;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA19;111886;491633;52,4108235;4,7535589;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001076;['0363100012078254'];0363010001043500;;;0363200000530127
Haparandaweg;57;;;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120223;489794;52,3948879;4,8762730;;BEST-industriefunctie;opslag / distributie;1044;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012071094'];0363010000658576;;;0363200000120651
Minervahavenweg;5;;;1013AR;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120214;490184;52,3983924;4,8761004;;BEST-overige gebruiksfunctie ;bedrijf;5866;Verblijfsobject;Verblijfsobject in gebruik;0363300000003788;['0363100012135579'];0363010001169397;;;0363200000533893
Nieuw-Zeelandweg;16;C;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115160;490837;52,4039173;4,8017689;;BEST-overige gebruiksfunctie ;bedrijf;400;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012110055'];0363010001166430;;;0363200000536716
Siciliëweg;4;;;1045AS;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA02;114875;492218;52,4163077;4,7974159;;BEST-woning;woning;88;Verblijfsobject;Verblijfsobject in gebruik;0363300000002199;['0363100012101455'];0363010000673301;;;0363200000135255
Hornweg;10;;;1045AR;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA03;114231;491859;52,4130339;4,7879940;;BEST-industriefunctie;;1505;Verblijfsobject;Verblijfsobject in gebruik;0363300000003596;['0363100012089105'];0363010000673304;;;0363200000135258
Nieuwe Hemweg;70;;;1013CX;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;119076;490009;52,3967463;4,8593993;;BEST-overige gebruiksfunctie ;bedrijf;52;Verblijfsobject;Verblijfsobject in gebruik;0363300000003906;['0363100012141875'];0363010001173945;;;0363200000519663
Casablancaweg;11;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA32;111700;490745;52,4028283;4,7509401;;BEST-industriefunctie;opslag / distributie;1019;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012152186'];0363010001164207;;;0363200000521002
Aziëhavenweg;19;;;1046BK;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA12;113796;490388;52,3997814;4,7817815;;BEST-kantoorfunctie;bedrijf;180;Verblijfsobject;Verblijfsobject in gebruik;0363300000005523;['0363100012092747'];0363010001173930;;;0363200000523394
Westhavenweg;52;;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117237;491164;52,4070030;4,8322515;;BEST-kantoorfunctie;bedrijf;344;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012087671'];0363010000866565;;;0363200000324684
Danzigerkade;9;F;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120302;490151;52,3981014;4,8773967;;BEST-kantoorfunctie;kantoor (hoofdcode);331;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165895;;;0363200000536144
Danzigerkade;9;M;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120304;490146;52,3980566;4,8774266;;BEST-woning;woning;188;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165900;;;0363200000536149
Latexweg;2;;;1047BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA23;112174;491753;52,4119245;4,7577761;;BEST-industriefunctie;opslag / distributie;9378;Verblijfsobject;Verblijfsobject in gebruik;0363300000001089;['0363100012062545'];0363010001167562;;;0363200000538700
Pier Azië;2;;;1013BT;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD09;119349;490713;52,4030911;4,8633354;;BEST-industriefunctie;bedrijf;1109;Verblijfsobject;Verblijfsobject in gebruik;0363300000002203;['0363100012158292'];0363010001170395;;;0363200000541353
Gyroscoopweg;10;B;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB25;117838;490274;52,3990455;4,8411818;;BEST-overige gebruiksfunctie ;bedrijf;941;Verblijfsobject;Verblijfsobject in gebruik (niet ingemeten);0363300000003773;['0363100012131786'];0363010001170687;;;0363200000541633
Santoriniweg;27;;;1045AV;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA03;114154;492602;52,4197055;4,7867719;;BEST-overige gebruiksfunctie ;opslag / distributie;275;Verblijfsobject;Verblijfsobject in gebruik;0363300000001340;['0363100012241633'];0363010001964153;;;0363200001963973
Westhavenweg;105;A;;1042BB;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116601;492271;52,4169076;4,8227787;;BEST-overige gebruiksfunctie ;bedrijf;114;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012240406'];0363010001964503;;;0363200001964294
Deccaweg;21;;;1042AE;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB20;117593;490387;52,4000444;4,8375695;;BEST-industriefunctie;bedrijf;859;Verblijfsobject;Verblijfsobject in gebruik;0363300000005654;['0363100012069493'];0363010000892239;;;0363200000349805
Deccaweg;25;;;1042AE;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB20;117638;490468;52,4007754;4,8382217;;BEST-industriefunctie;opslag / distributie;1487;Verblijfsobject;Verblijfsobject in gebruik;0363300000005654;['0363100012116856'];0363010000892243;;;0363200000349809
Capriweg;4;;;1044AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB31;115638;492204;52,4162372;4,8086322;;BEST-industriefunctie;bedrijf;12485;Verblijfsobject;Verblijfsobject in gebruik;0363300000001341;['0363100012092567'];0363010000892250;;;0363200000349815
Coenhavenweg;6;A;;1013BL;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD09;119396;490672;52,4027257;4,8640303;;BEST-overige gebruiksfunctie ;bedrijf;811;Verblijfsobject;Verblijfsobject in gebruik;0363300000003117;['0363100012093197'];0363010001989454;;;0363200001989417
Kombuisweg;18;;;1041AW;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC02;116948;492322;52,4173902;4,8278732;;BEST-industriefunctie;bedrijf;852;Verblijfsobject;Verblijfsobject in gebruik;0363300000000923;['0363100012241381'];0363010001988359;;;0363200001988203
Casablancaweg;14;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;111954;490969;52,4048614;4,7546435;;BEST-industriefunctie;bedrijf;6414;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012153054'];0363010001988427;;;0363200001988245
Gyroscoopweg;15;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB21;117730;490358;52,3997931;4,8395856;;BEST-kantoorfunctie;opslag / distributie;8675;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012241057'];0363010002005399;;;0363200002005224
Isarweg;6;A;;1043AK;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117042;489608;52,3930055;4,8295619;;BEST-industriefunctie;kantoor (hoofdcode);2489;Verblijfsobject;Verblijfsobject in gebruik;0363300000003639;['0363100012094916'];0363010000678098;;;0363200000139857
Isarweg;10;;;1043AK;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117036;489669;52,3935533;4,8294669;;BEST-overige gebruiksfunctie ;bedrijf;568;Verblijfsobject;Verblijfsobject in gebruik;0363300000003639;['0363100012104244'];0363010001165148;;;0363200000139858
Casablancaweg;8;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;112050;490797;52,4033232;4,7560761;;BEST-industriefunctie;bedrijf;7469;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012157889'];0363010003684584;;;0363200003683467
Casablancaweg;10;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;112077;490940;52,4046104;4,7564546;;BEST-industriefunctie;bedrijf;6414;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012161825'];0363010003684585;;;0363200003683468
Beiraweg;10;;;1047HN;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;111703;491042;52,4054977;4,7509458;;BEST-overige gebruiksfunctie ;bedrijf;14;Verblijfsobject;Verblijfsobject in gebruik;0363300000002021;['0363100012159282'];0363010003684691;;;0363200003683541
Danzigerkade;3;G;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD41;120354;489975;52,3965229;4,8781788;;BEST-kantoorfunctie;kantoor (hoofdcode);175;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012129144'];0363010003695994;;;0363200003695588
Stromboliweg;8;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114843;492874;52,4222083;4,7968804;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003688202;;0363200003688142
Stromboliweg;12;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114886;492862;52,4221026;4,7975088;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003688204;;0363200003688144
Stromboliweg;18;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114929;492839;52,4219014;4,7981441;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003688207;;0363200003688147
Westhavenweg;93;;;1042BA;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116681;492015;52,4146125;4,8239838;;BEST-industriefunctie;bedrijf;2911;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012237932'];0363010003696136;;;0363200003695705
Ankerweg;6;;;1041AT;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC01;117074;492284;52,4170574;4,8297295;;BEST-industriefunctie;opslag / distributie;907;Verblijfsobject;Verblijfsobject in gebruik;0363300000002719;['0363100012241372'];0363010003701283;;;0363200003701063
Moezelhavenweg;13;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116378;489738;52,3941275;4,8197926;;BEST-overige gebruiksfunctie ;kantoor (hoofdcode);104;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012158590'];0363010003767056;;;0363200003766939
Moezelhavenweg;13;A;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116379;489744;52,3941815;4,8198066;;BEST-overige gebruiksfunctie ;bedrijf;85;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012157369'];0363010003767057;;;0363200003766940
Sardiniëweg;5;;;1044AG;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB46;115934;490370;52,3997760;4,8131964;;BEST-industriefunctie;opslag / distributie;7412;Verblijfsobject;Verblijfsobject in gebruik;0363300000005420;['0363100012123231'];0363010000903623;;;0363200000361000
Basisweg;42;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117083;489517;52,3921905;4,8301745;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012109409'];0363010011117333;;;0363200011117031
Oceanenweg;13;;;1047BA;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA17;112750;491607;52,4106571;4,7662597;;BEST-industriefunctie;bedrijf;1139;Verblijfsobject;Verblijfsobject in gebruik;0363300000005447;['0363100012109998'];0363010000905659;;;0363200000362983
Haparandadam;45;;;1013AK;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120706;490214;52,3986930;4,8833259;;BEST-bijeenkomstfunctie;;200;Verblijfsobject;Verblijfsobject in gebruik;0363300003682813;['0363100012238479'];0363010011266487;;;0363200011266297
Haparandaweg;65;;;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120269;489810;52,3950347;4,8769471;;BEST-overige gebruiksfunctie ;parkeergarage geëxploiteerd voor kortparkeren;585;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266489;;;0363200011266298
Haparandaweg;67;A;4;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120283;489819;52,3951164;4,8771519;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266503;;;0363200011266303
Haparandaweg;67;C;4;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120294;489828;52,3951980;4,8773125;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266519;;;0363200011266321
Haparandaweg;67;C;7;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120294;489828;52,3951980;4,8773125;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266523;;;0363200011266324
Danzigerkade;23;C;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120234;490373;52,4000922;4,8763746;;BEST-kantoorfunctie;kantoor (hoofdcode);1200;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012241048'];0363010011290737;;;0363200011290609
Danzigerkade;23;D;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120235;490373;52,4000923;4,8763893;;BEST-kantoorfunctie;kantoor (hoofdcode);653;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012241048'];0363010011290738;;;0363200011290610
Kajuitweg;3;;;1041AP;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC04;116853;491943;52,4139774;4,8265200;;BEST-woning;woning + kantoor (hoofdcode);65;Verblijfsobject;Verblijfsobject in gebruik;0363300000003943;['0363100012140106'];0363010000696585;;;0363200000158332
Danzigerkade;73;;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD44;120198;490469;52,4009527;4,8758357;;BEST-industriefunctie;kantoor (hoofdcode);646;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012238940'];0363010012062324;;;0363200012062418
Hornweg;71;;;1044AN;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB59;115656;490409;52,4001066;4,8091072;;BEST-overige gebruiksfunctie ;overig bedrijf;2743;Verblijfsobject;Verblijfsobject in gebruik;0363300000003596;['0363100012239303'];0363010012063294;;;0363200012063415
Danzigerkade;71;;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD44;120198;490469;52,4009527;4,8758357;;BEST-industriefunctie;kantoor (hoofdcode);685;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012238940'];0363010012062323;;;0363200012062417
Casablancaweg;9;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA32;111746;490752;52,4028949;4,7516151;;BEST-industriefunctie;opslag / distributie;20869;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012239396'];0363010012063316;;;0363200012063440
Moermanskkade;79;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119944;490205;52,3985639;4,8721313;;BEST-industriefunctie;kantoor;190;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012239306'];0363010012064028;;;0363200012064164
